Scan,Time,SensorIndex,Range,Azimuth,RangeRate,ObjectID
48,4.7,2,40.243,0.33498,4.4393,0
48,4.7,2,42.4066,0.35454,4.5204,0
48,4.7,2,42.4098,-0.70273,-0.012202,0
48,4.7,2,43.8994,0.38632,4.5554,0
48,4.7,2,44.9298,-0.7102,0.0039132,0
48,4.7,3,1.2518,-0.62531,0.037346,0
48,4.7,3,1.2969,-0.57277,-0.27614,0
48,4.7,3,1.3052,-0.48839,-0.6305,0
48,4.7,3,1.3397,-0.3541,-1.2947,0
48,4.7,3,1.4135,-0.70616,0.34937,0
48,4.7,3,1.4187,-0.41388,-0.96711,0
48,4.7,3,1.4958,-0.77138,0.70032,0
48,4.7,3,1.5249,-0.91133,1.3488,0
48,4.7,3,1.5559,-0.84113,0.98266,0
48,4.7,3,1.6577,-0.96092,1.5917,0
48,4.7,3,1.7933,-1.0267,1.8394,0
48,4.7,3,20.504,1.0325,-0.018319,0
48,4.7,3,21.3921,1.028,0.039477,0
48,4.7,3,22.8135,1.0003,0.0034079,0
48,4.7,3,24.0813,1.0042,0.011356,0
48,4.7,3,26.8845,0.97707,-0.02148,0
48,4.7,3,29.2461,0.74089,1.4812,0
48,4.7,3,29.9985,0.94751,0.0054762,0
48,4.7,3,31.2971,0.95258,0.044063,0
48,4.7,3,34.1465,0.93466,0.013394,0
48,4.7,3,36.02,0.83517,4.99,0
48,4.7,3,36.4116,0.87434,4.9761,0
48,4.7,3,36.7343,0.92618,0.0086958,0
48,4.7,3,38.5947,0.83741,5.0263,0
48,4.7,3,39.5339,0.91911,0.00017271,0
48,4.7,3,40.8728,0.83316,4.988,0
48,4.7,3,42.5734,0.90742,-0.011109,0
48,4.7,3,44.1233,0.90484,0.0050204,0
48,4.7,4,24.6467,0.060002,5.0043,0
48,4.7,4,24.7642,0.026976,4.9794,0
48,4.7,4,26.0251,-0.17755,-0.0039072,0
48,4.7,4,26.5984,-0.16751,0.023404,0
48,4.7,4,26.9453,0.027434,5.0159,0
48,4.7,4,28.7366,0.013956,5.0168,0
48,4.7,4,28.9234,-0.14989,-0.018257,0
48,4.7,4,31.3449,-0.13711,0.0013842,0
48,4.7,4,33.8961,-0.13561,-0.010666,0
48,4.7,4,36.2493,-0.1257,0.0025013,0
48,4.7,4,39.0575,-0.11526,0.0080152,0
48,4.7,4,41.4625,-0.1083,-0.0080256,0
48,4.7,4,43.1535,-0.095329,-0.031246,0
48,4.7,4,44.0917,-0.10566,0.013483,0
48,4.7,4,46.7283,-0.091872,-0.012386,0
48,4.7,5,3.4709,-0.68541,0.011909,0
48,4.7,5,3.559,-0.96743,-0.032604,0
48,4.7,5,3.6106,-0.48435,-0.048353,0
48,4.7,5,3.6982,-0.74681,-0.0057927,0
48,4.7,5,3.717,-0.89974,-0.0068739,0
48,4.7,5,3.7265,-1.0344,-0.0058022,0
48,4.7,5,3.7671,-0.61794,-0.015309,0
48,4.7,5,3.8051,-0.82708,-0.012356,0
48,4.7,5,3.8109,-0.55596,-0.033756,0
48,4.7,5,3.8839,-0.42735,-0.022857,0
48,4.7,5,4.0209,-0.30825,0.037033,0
48,4.7,5,4.0644,-0.38332,0.033855,0
48,4.7,5,4.4221,-0.19748,-0.012898,0
48,4.7,5,4.5806,-0.14881,-0.0080759,0
48,4.7,5,4.8998,-0.069019,-0.00105,0
48,4.7,5,5.0761,0.027738,0.0036382,0
48,4.7,5,5.1519,-0.03397,0.020661,0
48,4.7,5,5.6538,0.12583,-0.00018137,0
48,4.7,5,6.2855,0.1695,0.023731,0
48,4.7,5,6.4552,0.18944,-0.00044124,0
48,4.7,5,7.1694,0.25592,-0.043794,0
48,4.7,5,7.8852,0.31542,0.0037634,0
48,4.7,5,9.2353,0.37543,-0.00026427,0
48,4.7,5,9.4356,0.39891,0.045878,0
48,4.7,5,11.2219,0.45234,-0.035481,0
48,4.7,5,13.8019,0.51828,0.037455,0
48,4.7,5,13.8409,0.51319,0.019756,0
48,4.7,5,16.5229,0.56345,0.027484,0
48,4.7,5,18.8956,0.59055,0.0061377,0
48,4.7,5,19.0648,0.60374,-0.027021,0
48,4.7,5,21.3994,0.62601,-0.013126,0
48,4.7,5,23.8928,0.63825,0.055684,0
48,4.7,5,25.6965,0.84254,5.0227,0
